Part 15

21 كانون الثاني, 2026
06:43 م

I'll extract all match data from all 138 pages and format it into a CSV structure. Let me parse the full file systematically.
Here is the complete extracted match data in CSV format:
```csv
Match ID,Date,Time,Team A,Score A,Team B,Score B,Half-Time Score
108,12.01.2026,17:50,Germany,2,Italy,0,(1:0,1:0)
107,12.01.2026,17:40,Italy,0,Brazil,0,(0:0,0:0)
106,12.01.2026,17:30,Cameroon,0,Senegal,3,(0:1,0:2)
110,12.01.2026,18:10,Senegal,1,Korea,2,(1:0,0:2)
109,12.01.2026,18:00,Argentina,0,Germany,1,(0:0,0:1)
132,12.01.2026,21:50,Senegal,1,Japan,0,(1:0,0:0)
131,12.01.2026,21:40,Japan,1,Senegal,1,(0:0,1:1)
136,12.01.2026,22:30,Cameroon,1,Senegal,2,(0:1,1:1)
135,12.01.2026,22:20,Argentina,1,Germany,0,(1:0,0:0)
134,12.01.2026,22:10,Brazil,1,Italy,2,(1:2,0:0)
138,12.01.2026,22:50,Japan,0,Argentina,1,(0:1,0:0)
137,12.01.2026,22:40,Mexico,3,Guinea,1,(1:1,2:0)
140,12.01.2026,23:10,Cameroon,3,England,1,(1:0,2:1)
139,12.01.2026,23:00,Brazil,2,Italy,0,(1:0,1:0)
142,12.01.2026,23:30,Senegal,1,Korea,1,(0:0,1:1)
141,12.01.2026,23:20,Argentina,0,Senegal,1,(0:0,0:1)
144,12.01.2026,23:50,Mongolia,1,Italy,1,(0:1,1:0)
143,12.01.2026,23:40,Guinea,1,,1,(0:0,1:1)
4,15.01.2026,00:30,Korea,1,Mexico,0,(0:0,1:0)
3,15.01.2026,00:20,Mongolia,0,Cameroon,0,(0:0,0:0)
2,15.01.2026,00:10,Germany,2,England,1,(1:0,1:1)
1,15.01.2026,00:00,Germany,2,England,1,(2:1)
7,15.01.2026,01:00,Germany,0,Cameroon,1,(0:1,0:0)
6,15.01.2026,00:50,Brazil,3,Germany,1,(2:0,1:1)
5,15.01.2026,00:40,Argentina,1,Japan,1,(1:1,0:0)
4,15.01.2026,00:30,Italy,2,Guinea,0,(1:0,1:0)
10,15.01.2026,01:30,Argentina,2,Thailand,0,(1:0,1:0)
9,15.01.2026,01:20,Japan,0,England,1,(0:1,0:0)
8,15.01.2026,01:10,Cameroon,0,Argentina,1,(0:0,0:1)
7,15.01.2026,01:00,Germany,0,Cameroon,1,(0:1,0:0)
13,15.01.2026,02:00,Senegal,0,Mongolia,0,(0:0,0:0)
12,15.01.2026,01:50,Germany,1,Italy,2,(1:0,0:2)
11,15.01.2026,01:40,Mongolia,1,Mexico,0,(0:0,1:0)
10,15.01.2026,01:30,Argentina,2,Thailand,0,(1:0,1:0)
16,15.01.2026,02:30,Japan,0,Cameroon,2,(0:1,0:1)
15,15.01.2026,02:20,Mexico,0,Germany,2,(0:2,0:0)
14,15.01.2026,02:10,Italy,1,Brazil,0,(1:0,0:0)
13,15.01.2026,02:00,Senegal,0,Mongolia,0,(0:0,0:0)
40,12.01.2026,06:30,Senegal,0,Mongolia,0,(0:0,0:0)
39,12.01.2026,06:20,Korea,2,Senegal,1,(1:0,1:1)
38,12.01.2026,06:10,England,1,Japan,1,(1:1,0:0)
37,12.01.2026,06:00,Japan,2,Cameroon,0,(,)
41,12.01.2026,06:40,Cameroon,2,Argentina,1,(1:1,1:0)
40,12.01.2026,06:30,Senegal,0,Mongolia,0,(0:0,0:0)
39,12.01.2026,06:20,Korea,2,Senegal,1,(1:0,1:1)
38,12.01.2026,06:10,England,1,Japan,1,(1:1,0:0)
43,12.01.2026,07:00,England,0,Cameroon,2,(0:1,0:1)
42,12.01.2026,06:50,Brazil,1,Italy,0,(0:0,1:0)
41,12.01.2026,06:40,Cameroon,2,Argentina,1,(1:1,1:0)
40,12.01.2026,06:30,Senegal,0,Mongolia,0,(0:0,0:0)
45,12.01.2026,07:20,Thailand,0,Mexico,1,(0:0,0:1)
44,12.01.2026,07:10,Japan,1,Guinea,0,(0:0,1:0)
43,12.01.2026,07:00,England,0,Cameroon,2,(0:1,0:1)
42,12.01.2026,06:50,Brazil,1,Italy,0,(0:0,1:0)
47,12.01.2026,07:40,Guinea,0,Thailand,0,(0:0,0:0)
46,12.01.2026,07:30,Cameroon,1,Argentina,1,(0:0,1:1)
45,12.01.2026,07:20,Thailand,0,Mexico,1,(0:0,0:1)
44,12.01.2026,07:10,Japan,1,Guinea,0,(0:0,1:0)
49,12.01.2026,08:00,Korea,0,Guinea,4,(0:2,0:2)
48,12.01.2026,07:50,Senegal,1,Cameroon,2,(0:1,1:1)
47,12.01.2026,07:40,Guinea,0,Thailand,0,(0:0,0:0)
46,12.01.2026,07:30,Cameroon,1,Argentina,1,(0:0,1:1)
51,12.01.2026,08:20,Japan,2,Korea,1,(2:0,0:1)
50,12.01.2026,08:10,Brazil,1,England,1,(0:0,1:1)
49,12.01.2026,08:00,Korea,0,Guinea,4,(0:2,0:2)
48,12.01.2026,07:50,Senegal,1,Cameroon,2,(0:1,1:1)
53,12.01.2026,08:40,Senegal,1,Argentina,2,(0:0,1:2)
52,12.01.2026,08:30,Cameroon,2,Senegal,0,(1:0,1:0)
51,12.01.2026,08:20,Japan,2,Korea,1,(2:0,0:1)
50,12.01.2026,08:10,Brazil,1,England,1,(0:0,1:1)
55,12.01.2026,09:00,Brazil,2,Germany,0,(1:0,1:0)
54,12.01.2026,08:50,Korea,0,Guinea,0,(0:0,0:0)
53,12.01.2026,08:40,Senegal,1,Argentina,2,(0:0,1:2)
52,12.01.2026,08:30,Cameroon,2,Senegal,0,(1:0,1:0)
57,12.01.2026,09:20,Japan,1,England,1,(1:0,0:1)
56,12.01.2026,09:10,Argentina,0,Cameroon,1,(0:1,0:0)
55,12.01.2026,09:00,Brazil,2,Germany,0,(1:0,1:0)
54,12.01.2026,08:50,Korea,0,Guinea,0,(0:0,0:0)
59,12.01.2026,09:40,Mongolia,0,Japan,2,(0:1,0:1)
58,12.01.2026,09:30,Senegal,0,Brazil,1,(0:0,0:1)
57,12.01.2026,09:20,Japan,1,England,1,(1:0,0:1)
56,12.01.2026,09:10,Argentina,0,Cameroon,1,(0:1,0:0)
60,12.01.2026,09:50,Germany,0,Italy,1,(0:1,0:0)
59,12.01.2026,09:40,Mongolia,0,Japan,2,(0:1,0:1)
58,12.01.2026,09:30,Senegal,0,Brazil,1,(0:0,0:1)
62,12.01.2026,10:10,Brazil,1,Argentina,0,(0:0,1:0)


الحصول على Microsoft OneNote: https://aka.ms/GetOneNoteMobile
